tDayStart,tempAvg,energyHigh,energyLow,envergyAvg,xAvg,yAvg,zAvg
41.5119444444,747.741935484,107.601442574,10.9961168639,17.9569923742,64687.9354839,801.387096774,65404.0
41.5327777778,746.766666667,12.6540310651,11.9201331115,12.2630208661,64688.2333333,800.933333333,65403.4666667
41.5536111111,748.133333333,12.7544378698,12.0598448467,12.4251969854,64688.8666667,800.366666667,65403.2333333
41.5744444444,749.866666667,13.1220639911,12.1523264402,12.6146311932,64688.4333333,800.666666667,65403.7
41.5952777778,750.766666667,13.0769088556,12.2701404287,12.6445782484,64688.7,800.6,65403.3666667
41.6161111111,752.266666667,12.9462405321,12.4291789941,12.661338807,64688.6666667,801.566666667,65402.4666667
41.6369444444,753.5,12.9463856535,12.399076639,12.7092069457,64687.8666667,801.1,65403.0666667
41.6577777778,756.071428571,13.2234533703,12.4472760849,12.8127815575,64689.2142857,800.0,65402.3571429
41.6794097222,760.033333333,13.1226223453,12.3607980787,12.7082533192,64688.1,801.066666667,65402.1333333
41.7002430556,762.933333333,13.2574750831,12.439357578,12.7899826546,64688.2333333,800.633333333,65402.9666667
41.7210763889,764.6,13.2683287165,12.5944649446,12.8837844187,64688.7666667,800.866666667,65402.6333333
41.7419097222,766.6,13.3552194762,12.474732571,12.9784187934,64688.9,800.833333333,65402.2
41.7627430556,770.566666667,13.5349308756,12.7148661127,13.0283754518,64687.9333333,800.433333333,65402.4333333
41.7835763889,773.566666667,13.2320177056,12.6445305294,12.9032287863,64688.4666667,799.833333333,65402.5666667
41.8044097222,776.333333333,13.2882168541,12.5699004058,13.0001892196,64688.3,800.233333333,65401.9666667
41.8252430556,778.928571429,13.3043718871,12.513478582,12.9490736157,64689.3571429,799.214285714,65401.9642857
41.8461342593,778.633333333,13.2282869261,12.1417250276,12.7703930602,64689.6,799.033333333,65402.3666667
41.8669675926,782.3,12.9124101051,12.1565554121,12.5084234037,64688.9,799.4,65402.6
41.8878009259,783.833333333,12.776691868,12.1211059908,12.501066972,64689.4666667,799.2,65401.9333333
41.9086342593,785.433333333,12.9432258065,12.0932546996,12.4632865846,64689.0666667,799.533333333,65401.0333333
41.9294675926,786.6,12.6105476673,11.852854512,12.2319222803,64688.7333333,799.0,65403.3
41.9503009259,787.6,12.7237181852,11.9371544416,12.3198217618,64689.6,799.633333333,65401.3333333
41.9711342593,787.766666667,12.9306401033,12.0650451446,12.3061057619,64688.8666667,799.0,65402.0666667
41.9919675926,787.857142857,12.4598082596,11.6029872764,12.0916648986,64689.4642857,798.964285714,65401.6071429
42.0128125,787.433333333,12.5538971808,11.6163348083,12.0815578314,64688.8333333,798.866666667,65403.1
42.0336458333,786.6,12.1555063641,11.4157137588,11.8416533762,64689.2666667,799.566666667,65401.9
42.0544791667,786.166666667,12.1907834101,11.3085008298,11.7052643845,64689.7666667,798.266666667,65401.7666667
42.0753125,784.433333333,12.3925543679,11.3980833026,11.837866018,64690.0333333,797.9,65402.0
42.0961458333,782.5,12.0703887968,11.3447004608,11.7372513475,64690.7666667,797.733333333,65401.1666667
42.1169791667,780.3,12.0265584655,11.1850212138,11.552424112,64691.1333333,797.133333333,65402.0666667
42.1378125,779.2,11.9928070823,11.195202952,11.6043566853,64689.8,798.0,65401.6333333
42.1586458333,778.107142857,11.9603394208,11.2307692308,11.6091123134,64691.1071429,796.928571429,65401.5714286
42.1795023148,777.333333333,12.0920154896,11.2420217672,11.6393114207,64689.3666667,798.4,65402.7666667
42.2003356481,776.333333333,11.9382602285,11.0536900369,11.3930523651,64688.8,799.766666667,65400.9
42.2211689815,774.1,12.1878810272,10.6759601182,11.3466712378,64690.0333333,798.2,65402.2
42.2420023148,772.033333333,11.903839055,10.7881809788,11.4111751514,64690.2333333,798.5,65402.9
42.2628356481,770.033333333,11.7285477025,10.9259601182,11.3679832899,64689.5333333,798.933333333,65401.0
42.2836689815,767.6,12.3110127283,11.2303858224,11.6615863703,64689.4666667,798.6,65401.1666667
42.3045023148,766.4,13.0099741411,11.7632065017,12.1841710139,64691.1,797.366666667,65402.8333333
42.3253356481,764.25,13.8760620613,12.2732644018,13.0526645799,64691.0714286,796.678571429,65403.3214286
42.3462037037,763.666666667,13.2083102493,12.3582117125,12.7764655498,64689.1666667,800.166666667,65402.7
42.367037037,761.766666667,13.2004799705,12.3043237251,12.8561995879,64689.7333333,799.133333333,65401.7333333
42.3878703704,759.1,13.3409090909,12.6288564567,12.945557972,64690.5,799.066666667,65403.7333333
42.4087037037,756.833333333,13.427383592,12.6443089431,12.9902416685,64689.5,799.766666667,65402.5
42.429537037,754.5,13.0437996673,12.4550831793,12.7157614127,64689.1,800.233333333,65403.0666667
42.4503703704,753.433333333,13.2063286454,12.203768705,12.6064649639,64688.4,800.8,65403.6333333
42.4712037037,752.6,13.2284235816,12.1923076923,12.6243608339,64689.2,800.066666667,65404.0
42.492037037,752.25,13.0003694126,12.2345222695,12.5445430351,64689.2142857,799.571428571,65404.5714286
42.5129166667,751.566666667,12.8321936795,12.1551819693,12.5289614523,64688.8666667,800.466666667,65403.8
42.53375,752.333333333,13.121419331,12.2183228666,12.5442840056,64688.8333333,799.866666667,65403.6333333
42.5545833333,752.9,12.954335367,12.1916112343,12.5759528377,64688.3666667,800.633333333,65402.7
42.5754166667,753.1,12.9566020314,12.1651884701,12.5592337057,64688.7333333,801.133333333,65403.3333333
42.59625,755.333333333,12.967276761,12.0221770468,12.5243663316,64688.0333333,801.5,65402.9666667
42.6170833333,757.6,13.0905228154,12.3067257945,12.6673060763,64688.5666667,801.166666667,65402.7
42.6379166667,760.333333333,13.0437350065,12.3373961219,12.6450761391,64689.5333333,800.3,65402.6
42.65875,763.535714286,13.0851181684,12.3157214114,12.7663308364,64688.3214286,800.178571429,65402.6071429
42.6796180556,765.133333333,13.3289036545,12.2833394902,12.8856348001,64687.7666667,800.966666667,65403.9666667
42.7004513889,768.166666667,13.2115845785,12.5553093259,12.8400886986,64687.8,800.633333333,65403.4666667
42.7212847222,772.066666667,13.6419730279,12.6472868217,13.0368191805,64688.2333333,800.7,65403.0333333
42.7421180556,776.366666667,13.5170821791,12.5787336164,13.0425309228,64688.1,801.333333333,65402.6333333
42.7629513889,778.333333333,13.3583548506,12.8273062731,13.089813219,64688.3333333,800.2,65403.0333333
42.7837847222,783.433333333,13.3913764511,12.7551622419,13.1146094427,64687.7666667,800.0,65403.9333333
42.8046180556,788.133333333,13.437235023,12.8042035398,13.1252567471,64688.5333333,799.866666667,65402.4333333
42.8254513889,790.607142857,60.8936797494,12.9493740795,21.9082721112,64696.4285714,786.107142857,65406.3571429
42.8463078704,792.633333333,13.1428571429,12.4825870647,12.7860219716,64688.8666667,800.0,65400.5333333
42.8671412037,794.366666667,13.4510128913,12.2166144778,12.78430194,64689.7333333,798.866666667,65401.9
42.887974537,798.1,13.1672505993,12.445057979,12.7446190312,64688.7,798.733333333,65402.0
42.9088078704,799.933333333,13.0079175106,12.1989316633,12.6781044901,64689.0,798.566666667,65403.0666667
42.9296412037,801.766666667,12.9871134021,12.2040139937,12.5594342361,64689.2,798.0,65400.9
42.950474537,803.866666667,13.0011045655,12.317252808,12.6986380442,64689.9,797.6,65403.1333333
42.9713078704,804.1,13.234167894,12.1262654151,12.789880797,64690.0333333,797.666666667,65402.2666667
42.9921412037,803.785714286,13.535050598,12.8157894737,13.1072403382,64690.1785714,796.964285714,65400.8571429
43.0129976852,803.8,13.2021335295,12.0841620626,12.7894763556,64689.0666667,799.033333333,65400.8333333
