"comm_id","comm_type",nest_id,"comm_firstuse","comm_lastuse",comm_inuse
"C-AA0001","tower",24,"2014-09-17 14:35:32","2014-09-17 14:35:32",1
"C-AA0002","tower",3,"2014-10-11 13:32:09","2014-09-02 17:35:26",1
"C-AA0003","tower",4,"2014-10-17 03:56:05","2014-10-10 15:47:06",1
"C-AA0004","tower",22,"2014-05-31 03:30:54","2014-05-31 03:35:27",1
"C-AA0006","tower",5,"2014-11-03 21:40:34","2014-11-22 13:53:23",1
"C-AA0007","tower",9,"2014-09-16 03:55:32","2014-09-01 23:51:07",1
"C-AA0012","tower",13,"2014-09-25 19:14:47","2014-09-05 15:20:09",1
"C-AA0013","tower",12,"2014-11-05 02:08:40","2014-11-22 14:13:06",1
"C-AA0014","tower",18,"2014-08-24 09:52:10","2014-11-21 16:16:04",1
"C-AA0015","tower",7,"2014-10-18 18:51:52","2014-09-09 00:58:25",1
"C-AA0016","tower",8,"2014-08-25 22:36:55","2014-08-18 06:37:16",1
"C-AA0017","tower",23,"2014-09-21 21:13:45","2014-09-21 21:13:45",1
"H-AA0005","handheld",2,"2014-07-13 06:34:10","2014-08-06 09:14:37",1
