report_id,"report_filename_id",nest_id,param_id,days_active,report_number,"report_starttime","secs_per_rec","num_records","report_datetime"
1,"2014-08-12_AA0028_r-061-04",1,0,61,4,"2014-10-11 09:32:06","60","240","2014-10-11 13:32:09"
2,"2014-08-12_AA0028_r-049-03",1,0,49,3,"2014-09-29 05:28:45","60","240","2014-09-29 09:28:46"
3,"2014-08-12_AA0028_r-060-02",1,0,60,2,"2014-10-10 01:31:42","60","240","2014-10-10 05:31:47"
4,"2014-08-06_AA0017_r-074-05",2,0,74,5,"2014-10-18 14:51:49","60","240","2014-10-18 18:51:52"
5,"2014-08-06_AA0017_r-063-04",2,0,63,4,"2014-10-07 10:49:03","60","240","2014-10-07 14:49:07"
6,"2014-08-12_AA0028_r-049-01",1,0,49,1,"2014-09-28 21:28:40","60","240","2014-09-29 01:28:41"
7,"2014-07-13_AA0009_r-051-06",3,0,51,6,"2014-09-01 17:35:08","60","240","2014-09-01 21:35:12"
8,"2014-07-28_AA0014_r-082-01",4,0,82,1,"2014-10-16 23:56:02","60","240","2014-10-17 03:56:05"
9,"2014-08-27_AA0027_r-069-06",5,0,69,6,"2014-11-03 17:40:31","60","240","2014-11-03 21:40:34"
10,"2014-07-13_AA0008_r-043-03",6,0,43,3,"2014-08-24 05:52:07","60","240","2014-08-24 09:52:10"
11,"2014-07-13_AA0008_r-080-01",6,0,80,1,"2014-09-29 20:26:07","60","240","2014-09-30 00:26:10"
12,"2014-07-13_AA0008_r-035-01",6,0,35,1,"2014-08-15 08:18:23","360","240","2014-08-16 08:18:53"
13,"2014-07-20_AA0011_r-041-04",7,0,41,4,"2014-08-29 16:48:44","60","240","2014-08-29 20:48:47"
14,"2014-07-13_AA0009_r-059-02",3,0,59,2,"2014-09-09 02:59:40","60","240","2014-09-09 06:59:44"
15,"2014-07-13_AA0008_r-064-01",6,0,64,1,"2014-09-13 20:16:04","60","240","2014-09-14 00:16:07"
16,"2014-07-13_AA0008_r-044-01",6,0,44,1,"2014-08-24 21:52:19","60","240","2014-08-25 01:52:21"
