nest_id,"nest_date","sensor_id","comm_id","latitude","longitude","clutch_datetime",active
1,"2014-08-12","AA0028","C-AA0002","3513.8727N","07531.6505","0000-00-00 00:00:00",1
2,"2014-08-06","AA0017","C-AA0015","3525.8081N","07529.0768","0000-00-00 00:00:00",0
3,"2014-07-13","AA0009","C-AA0002","3514.2339N","07531.5784","0000-00-00 00:00:00",1
4,"2014-07-28","AA0014","C-AA0003","3514.0678N","07535.0056","0000-00-00 00:00:00",1
5,"2014-08-27","AA0027","C-AA0006","3513.8721N","07531.6479","0000-00-00 00:00:00",1
6,"2014-07-13","AA0008","C-AA0014","3515.0057N","07531.3981","0000-00-00 00:00:00",1
7,"2014-07-20","AA0011","C-AA0015","3746.3292N","12226.3645","0000-00-00 00:00:00",1
8,"2014-06-20","AA0013","C-AA0016","3746.3898N","12226.3516","0000-00-00 00:00:00",1
9,"2014-07-23","AA0012","C-AA0007","3513.4195N","07538.7212","0000-00-00 00:00:00",0
10,"2014-08-10","AA0025","C-AA0007","3513.9796N","07536.0986","0000-00-00 00:00:00",1
11,"2014-08-21","AA0026","C-AA0014","3516.5384N","07531.0389","0000-00-00 00:00:00",1
12,"2014-09-24","AA0012","C-AA0013","3513.8760N","07531.6479","0000-00-00 00:00:00",1
13,"2014-07-22","AA0024","C-AA0012","3746.3331N","12226.3722","0000-00-00 00:00:00",0
14,"2014-07-16","AA0010","C-AA0006","3513.1929N","07539.5168","0000-00-00 00:00:00",1
15,"2014-10-02","AA0007","C-AA0012","3516.5422N","07531.0363","0000-00-00 00:00:00",1
16,"2014-07-31","AA0024","H-AA0005","3516.1728N","07531.0930","0000-00-00 00:00:00",1
17,"2014-07-31","AA0017","H-AA0005","3515.1441N","07531.9929","0000-00-00 00:00:00",1
18,"2014-07-08","AA0004","C-AA0014","3514.0774N","07534.8910","0000-00-00 00:00:00",1
19,"2014-05-31","AA0006","C-AA0004","3746.3222N","12226.3645","0000-00-00 00:00:00",1
20,"2014-05-31","AA0001","C-AA0004","3746.3170N","12226.3645","0000-00-00 00:00:00",1
21,"2014-05-31","AA0005","C-AA0004","3746.3125N","12226.3645","0000-00-00 00:00:00",1
22,"2014-05-31","AA0003","C-AA0004","3746.3138N","12226.3632","0000-00-00 00:00:00",0
23,"2014-06-30","AA0003","C-AA0017","3514.7907N","07531.4702","0000-00-00 00:00:00",1
24,"2014-07-31","AA0002","C-AA0001","3746.3241N","12226.3747","0000-00-00 00:00:00",1
